Read when charge was around 93%


Register 547 raw value: 1000 | 0x3e8
Register 548 raw value: 200 | 0xc8
Register 549 raw value: 0 | 0x0
Register 550 raw value: 65535 | 0xffff
Register 551 raw value: 0 | 0x0
Register 552 raw value: 0 | 0x0
Register 553 raw value: 0 | 0x0
Register 554 raw value: 0 | 0x0
Register 555 raw value: 1802 | 0x70a
Register 556 raw value: 1811 | 0x713
Register 557 raw value: 1807 | 0x70f
Register 558 raw value: 1807 | 0x70f
Register 559 raw value: 1803 | 0x70b
Register 560 raw value: 1803 | 0x70b
Register 561 raw value: 0 | 0x0
Register 562 raw value: 0 | 0x0
Register 563 raw value: 0 | 0x0
Register 564 raw value: 0 | 0x0
Register 565 raw value: 0 | 0x0
Register 566 raw value: 0 | 0x0
Register 567 raw value: 0 | 0x0
Register 568 raw value: 0 | 0x0
Register 569 raw value: 0 | 0x0
Register 570 raw value: 0 | 0x0
Register 571 raw value: 0 | 0x0
Register 572 raw value: 0 | 0x0
Register 573 raw value: 0 | 0x0
Register 574 raw value: 0 | 0x0
Register 575 raw value: 0 | 0x0
Register 576 raw value: 0 | 0x0
Register 577 raw value: 0 | 0x0
Register 578 raw value: 0 | 0x0
Register 579 raw value: 0 | 0x0
Register 580 raw value: 0 | 0x0
Register 581 raw value: 0 | 0x0
Register 582 raw value: 0 | 0x0
Register 583 raw value: 0 | 0x0
Register 584 raw value: 0 | 0x0
Register 585 raw value: 0 | 0x0
Register 586 raw value: 0 | 0x0
Register 587 raw value: 0 | 0x0
Register 588 raw value: 0 | 0x0
Register 589 raw value: 0 | 0x0
Register 590 raw value: 0 | 0x0
Register 591 raw value: 0 | 0x0
Register 592 raw value: 0 | 0x0
Register 593 raw value: 0 | 0x0
Register 594 raw value: 0 | 0x0
Register 595 raw value: 0 | 0x0
Register 596 raw value: 0 | 0x0
Register 597 raw value: 0 | 0x0
Register 598 raw value: 0 | 0x0
Register 599 raw value: 0 | 0x0
Register 600 raw value: 0 | 0x0
Register 601 raw value: 0 | 0x0
Register 602 raw value: 0 | 0x0
Register 603 raw value: 0 | 0x0
Register 604 raw value: 0 | 0x0
Register 605 raw value: 0 | 0x0
Register 606 raw value: 0 | 0x0
Register 607 raw value: 0 | 0x0
Register 608 raw value: 0 | 0x0
Register 609 raw value: 0 | 0x0
Register 610 raw value: 0 | 0x0
Register 611 raw value: 0 | 0x0
Register 612 raw value: 0 | 0x0
Register 613 raw value: 0 | 0x0
Register 614 raw value: 0 | 0x0
Register 615 raw value: 0 | 0x0
Register 616 raw value: 0 | 0x0
Register 617 raw value: 0 | 0x0
Register 618 raw value: 0 | 0x0
Register 619 raw value: 0 | 0x0
Register 620 raw value: 0 | 0x0
Register 621 raw value: 0 | 0x0
Register 622 raw value: 0 | 0x0
Register 623 raw value: 0 | 0x0
Register 624 raw value: 0 | 0x0
Register 625 raw value: 0 | 0x0
Register 626 raw value: 0 | 0x0
Register 627 raw value: 0 | 0x0
Register 628 raw value: 0 | 0x0
Register 629 raw value: 0 | 0x0
Register 630 raw value: 0 | 0x0
Register 631 raw value: 0 | 0x0
Register 632 raw value: 0 | 0x0
Register 633 raw value: 0 | 0x0
Register 634 raw value: 0 | 0x0
Register 635 raw value: 0 | 0x0
Register 636 raw value: 0 | 0x0
Register 637 raw value: 0 | 0x0
Register 638 raw value: 0 | 0x0
Register 639 raw value: 0 | 0x0
Register 640 raw value: 0 | 0x0
Register 641 raw value: 0 | 0x0
Register 642 raw value: 0 | 0x0
Register 643 raw value: 0 | 0x0
Register 644 raw value: 0 | 0x0
Register 645 raw value: 0 | 0x0
Register 646 raw value: 0 | 0x0
Register 647 raw value: 0 | 0x0
Register 648 raw value: 0 | 0x0
Register 649 raw value: 0 | 0x0
Register 650 raw value: 0 | 0x0
Register 651 raw value: 0 | 0x0
Register 652 raw value: 0 | 0x0
Register 653 raw value: 0 | 0x0
Register 654 raw value: 0 | 0x0
Register 655 raw value: 0 | 0x0
Register 656 raw value: 0 | 0x0
Register 657 raw value: 0 | 0x0
Register 658 raw value: 0 | 0x0
Register 659 raw value: 0 | 0x0
Register 660 raw value: 0 | 0x0
Register 661 raw value: 0 | 0x0
Register 662 raw value: 93 | 0x5d
Register 663 raw value: 4979 | 0x1373
Register 664 raw value: 65196 | 0xfeac
Register 665 raw value: 235 | 0xeb
